ad_group.cpc_bid,ad_group.id,ad_group.name,ad_group.resource_name,ad_group.status,ad_group.target_cpa,ad_group.type,campaign.advertising_channel_type,campaign.name,campaign.resource_name,metrics.average_cpc,metrics.clicks,metrics.conversions,metrics.conversions_value,metrics.cost,metrics.cost_per_conversion,metrics.ctr,metrics.impressions,metrics.search_impression_share
1500.00,189828781610,Venta de Terrenos,customers/4760314854/adGroups/189828781610,2,0.00,2,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,641.56,818,16,0,524792.91,32799.56,0.19116616031783126,4279,0.7455197132616488
1.00,182793116155,Venta de Terrenos,customers/4760314854/adGroups/182793116155,2,0.00,2,2,Agrícola I Search I NB Test Landing Page,customers/4760314854/campaigns/22764262259,,0,0,0,0.00,,,0,
