campaign.advertising_channel_sub_type,campaign.advertising_channel_type,campaign.bidding_strategy,campaign.bidding_strategy_type,campaign.campaign_budget,campaign.id,campaign.manual_cpc.enhanced_cpc_enabled,campaign.maximize_conversion_value.target_roas,campaign.maximize_conversions.target_cpa,campaign.name,campaign.percent_cpc.cpc_bid_ceiling,campaign.resource_name,campaign.serving_status,campaign.status,campaign.target_cpa.target_cpa,campaign.target_impression_share.cpc_bid_ceiling,campaign.target_impression_share.location,campaign.target_impression_share.location_fraction,campaign.target_roas.target_roas,campaign_budget.amount,campaign_budget.explicitly_shared,campaign_budget.resource_name,metrics.average_cpc,metrics.clicks,metrics.conversions,metrics.conversions_value,metrics.cost,metrics.cost_per_conversion,metrics.impressions,metrics.search_absolute_top_impression_share,metrics.search_budget_lost_impression_share,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_top_impression_share,metrics.value_per_conversion
,SEARCH,,MAXIMIZE_CONVERSIONS,customers/4760314854/campaignBudgets/14618376941,22635254582,,,,Agrícola I Search I NB,,customers/4760314854/campaigns/22635254582,SERVING,PAUSED,,,,,,18000.00,false,customers/4760314854/campaignBudgets/14618376941,,0,0,0,0.00,,0,,,,,,
,DEMAND_GEN,,MAXIMIZE_CONVERSIONS,customers/4760314854/campaignBudgets/14840619242,22903927094,,,,Agrícola I Demand Gen,,customers/4760314854/campaigns/22903927094,SERVING,PAUSED,,,,,,10000.00,false,customers/4760314854/campaignBudgets/14840619242,,0,0,0,0.00,,0,,,,,,
,SEARCH,,MAXIMIZE_CONVERSIONS,customers/4760314854/campaignBudgets/15453200394,23678661534,,,,Agrícola - Vista los Naranjos - Exact MaxC,,customers/4760314854/campaigns/23678661534,SERVING,PAUSED,,,,,,22000.00,false,customers/4760314854/campaignBudgets/15453200394,709.46,1016,16,0,720807.90,45050.49,4376,0.4670442842430484,0.07557071634741537,0.8081868276043034,0.11624245604828129,0.5486611740473738,0
,SEARCH,,MAXIMIZE_CONVERSIONS,customers/4760314854/campaignBudgets/15726495266,24045254526,,,20000.00,Agrícola - Vista Los Naranjos - Broad tCPA,,customers/4760314854/campaigns/24045254526,SERVING,PAUSED,,,,,,25000.00,false,customers/4760314854/campaignBudgets/15726495266,,0,0,0,0.00,,0,,,,,,
