ad_group.name,ad_group.resource_name,ad_group_audience_view.resource_name,ad_group_criterion.criterion_id,ad_group_criterion.display_name,ad_group_criterion.resource_name,ad_group_criterion.type,campaign.name,campaign.resource_name,metrics.clicks,metrics.conversions,metrics.conversions_value,metrics.cost,metrics.impressions
Competencia - Youtube Shorts,customers/4760314854/adGroups/179273579450,customers/4760314854/adGroupAudienceViews/179273579450~2435432894349,2435432894349,URL Competencia,customers/4760314854/adGroupCriteria/179273579450~2435432894349,32,Agrícola I Demand Gen,customers/4760314854/campaigns/22903927094,0,0,0,0.00,0
Lookalikes - Youtube Shorts,customers/4760314854/adGroups/189642155248,customers/4760314854/adGroupAudienceViews/189642155248~2438177736871,2438177736871,Lookalikes Visitantes Google Ads,customers/4760314854/adGroupCriteria/189642155248~2438177736871,16,Agrícola I Demand Gen,customers/4760314854/campaigns/22903927094,0,0,0,0.00,0
