ad_group.name,ad_group.resource_name,ad_group_criterion.keyword.match_type,ad_group_criterion.keyword.text,ad_group_criterion.quality_info.creative_quality_score,ad_group_criterion.quality_info.post_click_quality_score,ad_group_criterion.quality_info.quality_score,ad_group_criterion.quality_info.search_predicted_ctr,ad_group_criterion.resource_name,ad_group_criterion.status,campaign.name,campaign.resource_name,keyword_view.resource_name,metrics.average_cpc,metrics.clicks,metrics.conversions,metrics.cost,metrics.ctr,metrics.impressions,metrics.search_impression_share
Venta de Terrenos,customers/4760314854/adGroups/189828781610,3,parcelas en venta la serena,2,2,5,4,customers/4760314854/adGroupCriteria/189828781610~309065171259,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~309065171259,602.40,153,6,92167.07,0.18323353293413175,835,0.6985111662531017
Venta de Terrenos,customers/4760314854/adGroups/189828781610,2,terrenos valle del elqui,4,2,7,4,customers/4760314854/adGroupCriteria/189828781610~383247506842,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~383247506842,795.52,81,0,64437.51,0.25796178343949044,314,0.8620689655172413
Venta de Terrenos,customers/4760314854/adGroups/189828781610,2,parcelas valle elqui,4,2,7,4,customers/4760314854/adGroupCriteria/189828781610~391576604525,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~391576604525,681.55,88,2,59976.42,0.25071225071225073,351,0.9124087591240876
Venta de Terrenos,customers/4760314854/adGroups/189828781610,2,parcelas en venta la serena,2,2,5,4,customers/4760314854/adGroupCriteria/189828781610~309065171459,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~309065171459,639.72,92,3,58854.37,0.16055846422338568,573,0.8081023454157783
Venta de Terrenos,customers/4760314854/adGroups/189828781610,3,terreno en la serena,2,2,5,4,customers/4760314854/adGroupCriteria/189828781610~338940803026,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~338940803026,509.95,54,1,27537.22,0.11440677966101695,472,0.6123188405797102
Venta de Terrenos,customers/4760314854/adGroups/189828781610,3,terrenos valle del elqui,4,2,7,4,customers/4760314854/adGroupCriteria/189828781610~567807423722,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~567807423722,702.70,39,1.333333,27405.35,0.2867647058823529,136,0.7209302325581395
Venta de Terrenos,customers/4760314854/adGroups/189828781610,2,terrenos a la venta en la serena,2,2,5,4,customers/4760314854/adGroupCriteria/189828781610~1263325505184,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~1263325505184,554.88,45,0,24969.52,0.19230769230769232,234,0.7688442211055276
Venta de Terrenos,customers/4760314854/adGroups/189828781610,2,venta parcela en la serena,2,2,5,4,customers/4760314854/adGroupCriteria/189828781610~1636858376055,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~1636858376055,483.69,6,0,2902.12,0.25,24,0.8
Venta de Terrenos,customers/4760314854/adGroups/189828781610,3,parcelas en la serena con agua y luz,2,2,5,4,customers/4760314854/adGroupCriteria/189828781610~1043217149453,2,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,customers/4760314854/keywordViews/189828781610~1043217149453,,0,0,0.00,0,2,0.5
