id,name,status,effective_status,objective,start_time,created_time,updated_time,daily_budget
120234338748500559,Clientes Potenciales Sitio Web - ABO - Testing,ACTIVE,ACTIVE,OUTCOME_LEADS,2025-10-21T06:19:53-0300,2025-10-21T06:19:52-0300,2026-01-09T08:53:51-0300,
120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,ACTIVE,ACTIVE,OUTCOME_LEADS,2025-06-16T21:29:30-0400,2025-06-16T21:29:29-0400,2025-10-21T06:21:05-0300,23000
120225938563720559,Clientes Potenciales Sitio Web_Test Incial,PAUSED,PAUSED,OUTCOME_LEADS,2025-06-05T12:30:28-0400,2025-06-05T12:30:28-0400,2025-06-16T22:24:14-0400,
