ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,impressions,clicks,spend,reach,frequency,cpm,cpc,ctr,actions_link_click,actions_landing_page_view,actions_lead,cpa_link_click,cpa_lead,cpa_landing_page_view,date_start,date_stop,actions_complete_registration,cpa_complete_registration
120227070463100559,062025_AC_Estático 2 V1,120227070463080559,062025_Ad Set Ganadores,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,2220,41,6052,1684,1.31829,2726.126126,147.609756,1.846847,15,10,2,403.466667,3026,605.2,2026-02-20,2026-03-21,,
120228260204460559,062025_AC_Video 2 V2,120227070463080559,062025_Ad Set Ganadores,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,125103,4096,443200,52201,2.396563,3542.680831,108.203125,3.274102,3597,2426,58,123.213789,7641.37931,182.687552,2026-02-20,2026-03-21,4,110800
120228261041710559,062025_AC_Estático 6 V2,120227070463080559,062025_Ad Set Ganadores,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,3284,65,5701,2520,1.303175,1735.992692,87.707692,1.979294,36,24,1,158.361111,5701,237.541667,2026-02-20,2026-03-21,,
120234338751440559,102025_AC_Video 3_V1,120234338750040559,102025_T0_Testeo,120234338748500559,Clientes Potenciales Sitio Web - ABO - Testing,2540,136,15947,1623,1.565003,6278.346457,117.257353,5.354331,112,77,2,142.383929,7973.5,207.103896,2026-02-20,2026-03-21,1,15947
120234343301830559,062025_AC_Estático_Familiar_3_V1,120227070463080559,062025_Ad Set Ganadores,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,2533,28,5220,1784,1.419843,2060.797473,186.428571,1.105409,19,11,2,274.736842,2610,474.545455,2026-02-20,2026-03-21,,
120234343958980559,062025_AC_Estático_Familiar_2_V1,120227070463080559,062025_Ad Set Ganadores,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,1002,10,1416,826,1.213075,1413.173653,141.6,0.998004,7,5,,202.285714,,283.2,2026-02-20,2026-03-21,,
120234344760650559,062025_AC_Estático_Familiar_4_V1,120227070463080559,062025_Ad Set Ganadores,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,738,8,1215,572,1.29021,1646.341463,151.875,1.084011,7,2,1,173.571429,1215,607.5,2026-02-20,2026-03-21,,
120234344797530559,062025_AC_Estático 5 V1 - Copia,120227070463080559,062025_Ad Set Ganadores,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,98426,2150,227990,41572,2.367603,2316.359499,106.04186,2.184382,1281,937,34,177.978142,6705.588235,243.319104,2026-02-20,2026-03-21,6,37998.333333
120234444906420559,102025_AC_Video 4_V1,120234338750040559,102025_T0_Testeo,120234338748500559,Clientes Potenciales Sitio Web - ABO - Testing,52103,1903,281888,17430,2.989271,5410.206706,148.128219,3.652381,1276,835,38,220.915361,7418.105263,337.590419,2026-02-20,2026-03-21,5,56377.6
