id,name,status,effective_status,campaign_id,campaign.name,campaign.id,daily_budget,lifetime_budget,optimization_goal,billing_event,start_time,targeting.age_min,targeting.age_max,targeting.geo_locations.cities,targeting.geo_locations.places,targeting.geo_locations.location_types,targeting.geo_locations.regions,targeting.publisher_platforms,targeting.device_platforms
120234338750040559,102025_T0_Testeo,ACTIVE,ACTIVE,120234338748500559,Clientes Potenciales Sitio Web - ABO - Testing,120234338748500559,10000,0,OFFSITE_CONVERSIONS,IMPRESSIONS,2025-10-21T06:19:53-0300,25,65,"[{""country"":""CL"",""distance_unit"":""kilometer"",""key"":""325700"",""name"":""Copiapó"",""radius"":17,""region"":""Atacama Region"",""region_id"":""666""}]","[{""key"":""124880234306248"",""name"":""La Serena, IV Región"",""distance_unit"":""kilometer"",""latitude"":-33.447459921253,""longitude"":-70.59580283647,""radius"":17,""primary_city_id"":328660,""region_id"":673,""country"":""CL""}]",home | recent,,,
120227070463080559,062025_Ad Set Ganadores,ACTIVE,ACTIVE,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,120227069686460559,,,OFFSITE_CONVERSIONS,IMPRESSIONS,2025-06-16T21:31:42-0400,27,65,"[{""country"":""CL"",""distance_unit"":""kilometer"",""key"":""325700"",""name"":""Copiapó"",""radius"":17,""region"":""Atacama Region"",""region_id"":""666""}]","[{""key"":""124880234306248"",""name"":""La Serena, IV Región"",""distance_unit"":""kilometer"",""latitude"":-33.447459921253,""longitude"":-70.59580283647,""radius"":17,""primary_city_id"":328660,""region_id"":673,""country"":""CL""}]",home | recent,"[{""key"":""664"",""name"":""Antofagasta Region"",""country"":""CL""},{""key"":""668"",""name"":""Coquimbo Region"",""country"":""CL""}]",,
120227070392180559,062025_Ad Set Test,PAUSED,PAUSED,120227069686460559,Clientes Potenciales Sitio Web - CBO - Escalamiento,120227069686460559,,,OFFSITE_CONVERSIONS,IMPRESSIONS,2025-06-16T21:29:30-0400,27,65,"[{""country"":""CL"",""distance_unit"":""kilometer"",""key"":""324810"",""name"":""Antofagasta"",""radius"":17,""region"":""Antofagasta Region"",""region_id"":""664""},{""country"":""CL"",""distance_unit"":""kilometer"",""key"":""325700"",""name"":""Copiapó"",""radius"":17,""region"":""Atacama Region"",""region_id"":""666""}]","[{""key"":""124880234306248"",""name"":""La Serena, IV Región"",""distance_unit"":""kilometer"",""latitude"":-33.447459921253,""longitude"":-70.59580283647,""radius"":17,""primary_city_id"":328660,""region_id"":673,""country"":""CL""}]",home | recent,"[{""key"":""668"",""name"":""Coquimbo Region"",""country"":""CL""}]",facebook | instagram,mobile | desktop
120225938563730559,062025_L0 Testeo Inicial,ACTIVE,CAMPAIGN_PAUSED,120225938563720559,Clientes Potenciales Sitio Web_Test Incial,120225938563720559,20000,0,OFFSITE_CONVERSIONS,IMPRESSIONS,2025-06-05T12:30:28-0400,30,65,"[{""country"":""CL"",""distance_unit"":""kilometer"",""key"":""324836"",""name"":""Arica"",""radius"":17,""region"":""Arica y Parinacota Region"",""region_id"":""4198""}]",,home | recent,"[{""key"":""664"",""name"":""Antofagasta Region"",""country"":""CL""},{""key"":""666"",""name"":""Atacama Region"",""country"":""CL""},{""key"":""668"",""name"":""Coquimbo Region"",""country"":""CL""},{""key"":""674"",""name"":""Tarapacá Region"",""country"":""CL""}]",,
